,Title,Production_Budget,Domestic_Gross,Worldwide_Gross,Profit,Original_Language,Popularity,TMDB_Rating,Vote_Count,Quarter_Num,Year,IMDB_Rating,Runtime,Genre
769,Unfinished Business,35000000.0,10219501.0,13214051.0,-21785949.0,en,8.516,5.2,472,1,2015,5.4,91.0,Come
593,Silence,46500000.0,7100177.0,23726626.0,-22773374.0,en,10.617,7.1,1560,4,2016,7.2,161.0,Adve
594,Silence,46500000.0,7100177.0,23726626.0,-22773374.0,en,10.617,7.1,1560,4,2016,7.2,161.0,Adve
928,Blood Ties,26000000.0,42472.0,2923959.0,-23076041.0,en,12.003,6.1,268,1,2014,6.5,127.0,Acti
874,Trapped,30000000.0,6916869.0,6916869.0,-23083131.0,en,0.6,7.5,8,1,2016,7.6,105.0,Acti
774,A Hologram for the King,35000000.0,4212494.0,11846010.0,-23153990.0,en,11.055,5.9,589,2,2016,6.1,98.0,Come
95,47 Ronin,175000000.0,38362475.0,151716815.0,-23283185.0,en,25.049,6.0,2080,4,2013,6.3,128.0,Acti
614,The Rum Diary,45000000.0,13109815.0,21544732.0,-23455268.0,en,12.011,5.7,652,4,2011,6.2,119.0,Come
579,Upside Down,50000000.0,102118.0,26387039.0,-23612961.0,en,12.454,6.2,1645,1,2013,6.4,109.0,Dram
689,Paranoia,40000000.0,7388654.0,16340767.0,-23659233.0,en,7.6739999999999995,5.7,518,3,2013,5.7,106.0,Dram
885,Collide,29200000.0,2280004.0,5466698.0,-23733302.0,en,9.035,5.6,331,1,2017,5.7,99.0,Acti
812,Birth of the Dragon,31000000.0,6901965.0,7220490.0,-23779510.0,en,8.164,5.7,172,3,2017,5.4,95.0,Acti
570,Your Highness,50000000.0,21596445.0,26121638.0,-23878362.0,en,12.254000000000001,5.3,735,2,2011,5.5,102.0,Adve
575,Fair Game,50000000.0,11497497.0,26097497.0,-23902503.0,en,11.624,6.6,384,2,2010,6.8,108.0,Biog
242,Venom,25000000.0,881745.0,881745.0,-24118255.0,en,2.758,4.3,6,3,2011,6.7,112.0,Acti
243,Venom,25000000.0,881745.0,881745.0,-24118255.0,en,44.007,6.6,6206,4,2018,6.7,112.0,Acti
449,Sin City: A Dame to Kill For,65000000.0,13757804.0,40650842.0,-24349158.0,en,20.896,6.3,2210,3,2014,6.5,102.0,Crim
707,The Sisters Brothers,38000000.0,3143056.0,13143056.0,-24856944.0,en,13.738,7.0,590,3,2018,7.0,122.0,Adve
998,The Adventurer: The Curse of the Midas Box,25000000.0,0.0,0.0,-25000000.0,en,8.417,5.1,108,4,2013,5.4,100.0,Adve
878,Gloria,30000000.0,4167493.0,4967493.0,-25032507.0,es,5.925,6.5,83,1,2014,6.8,110.0,Come
881,Wild Card,30000000.0,3200.0,4315789.0,-25684211.0,en,22.504,5.5,930,1,2015,5.6,92.0,Acti
929,Accidental Love,26000000.0,0.0,135436.0,-25864564.0,en,6.487,4.0,172,1,2015,4.1,100.0,Come
879,Machine Gun Preacher,30000000.0,538690.0,3721988.0,-26278012.0,en,9.12,6.5,477,3,2011,6.8,129.0,Acti
330,Conan the Barbarian,90000000.0,21295021.0,63356133.0,-26643867.0,en,17.046,5.2,1024,3,2011,5.2,113.0,Acti
573,Free State of Jones,50000000.0,20810036.0,23237252.0,-26762748.0,en,8.574,6.6,787,2,2016,6.9,139.0,Acti
589,The Infiltrator,47500000.0,15436808.0,20718104.0,-26781896.0,en,9.588,6.6,943,3,2016,7.0,127.0,Biog
880,Bilal: A New Breed of Hero,30000000.0,490973.0,648599.0,-29351401.0,en,2.707,6.8,54,1,2018,8.0,105.0,Acti
491,Mortdecai,60000000.0,7696134.0,30396134.0,-29603866.0,en,13.263,5.4,1666,1,2015,5.5,107.0,Acti
620,The Interview,44000000.0,6105175.0,12342632.0,-31657368.0,en,15.501,6.2,3579,4,2014,6.5,112.0,Come
615,Welcome to Marwen,45000000.0,10763520.0,12874922.0,-32125078.0,en,22.031999999999996,6.6,286,4,2018,6.1,116.0,Biog
525,Bullet to the Head,55000000.0,9489829.0,22597969.0,-32402031.0,en,17.574,5.4,681,1,2013,5.7,92.0,Acti
790,The Young and Prodigious T.S. Spivet,33000000.0,176847.0,357687.0,-32642313.0,en,7.285,6.7,389,4,2014,7.1,105.0,Acti
